Title,sous_span.text
Le top 5 des bubble tea classiques,[<span>TOP 5 - le classique thé noir</span>]
Le top 5 des bubble tea classiques,[<span>TOP 4 - le plus soyeux au taro</span>]
Le top 5 des bubble tea classiques,[<span>TOP 3 - le thaïlandais</span>]
Le top 5 des bubble tea classiques,[<span>TOP 2- L'incontournable matcha</span>]
Le top 5 des bubble tea classiques,[<span>TOP 1 - Le séduisant sucre roux / brown sugar</span>]
Le top 5 des bubble tea classiques,[<span>Bien d'autres bubble tea classiques vous attendent</span>]
